,000001.SZ,000002.SZ,000060.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000166.SZ,000333.SZ,000338.SZ,000402.SZ,000413.SZ,000415.SZ,000423.SZ,000425.SZ,000503.SZ,000538.SZ,000540.SZ,000559.SZ,000568.SZ,000623.SZ,000625.SZ,000627.SZ,000630.SZ,000651.SZ,000671.SZ,000709.SZ,000723.SZ,000725.SZ,000728.SZ,000768.SZ,000776.SZ,000783.SZ,000786.SZ,000792.SZ,000826.SZ,000839.SZ,000858.SZ,000876.SZ,000895.SZ,000898.SZ,000938.SZ,000959.SZ,000961.SZ,000963.SZ,000983.SZ,001965.SZ,001979.SZ,002007.SZ,002008.SZ,002024.SZ,002027.SZ,002044.SZ,002050.SZ,002065.SZ,002074.SZ,002081.SZ,002085.SZ,002142.SZ,002146.SZ,002153.SZ,002202.SZ,002230.SZ,002236.SZ,002241.SZ,002252.SZ,002294.SZ,002304.SZ,002310.SZ,002352.SZ,002385.SZ,002411.SZ,002415.SZ,002450.SZ,002456.SZ,002460.SZ,002466.SZ,002468.SZ,002470.SZ,002475.SZ,002493.SZ,002500.SZ,002508.SZ,002555.SZ,002558.SZ,002572.SZ,002594.SZ,002601.SZ,002602.SZ,002608.SZ,002624.SZ,002625.SZ,002673.SZ,002714.SZ,002736.SZ,002739.SZ,002797.SZ,002925.SZ,300003.SZ,300015.SZ,300017.SZ,300024.SZ,300027.SZ,300033.SZ,300059.SZ,300070.SZ,300072.SZ,300122.SZ,300124.SZ,300136.SZ,300144.SZ,300251.SZ,300408.SZ,300433.SZ,600000.SH,600008.SH,600009.SH,600010.SH,600011.SH,600015.SH,600016.SH,600018.SH,600019.SH,600023.SH,600025.SH,600028.SH,600029.SH,600030.SH,600031.SH,600036.SH,600038.SH,600048.SH,600050.SH,600061.SH,600066.SH,600068.SH,600085.SH,600089.SH,600100.SH,600104.SH,600109.SH,600111.SH,600115.SH,600118.SH,600153.SH,600157.SH,600170.SH,600176.SH,600177.SH,600188.SH,600196.SH,600208.SH,600219.SH,600221.SH,600233.SH,600271.SH,600276.SH,600297.SH,600309.SH,600332.SH,600339.SH,600340.SH,600346.SH,600352.SH,600362.SH,600369.SH,600372.SH,600373.SH,600376.SH,600383.SH,600390.SH,600398.SH,600406.SH,600415.SH,600436.SH,600438.SH,600482.SH,600487.SH,600489.SH,600498.SH,600516.SH,600518.SH,600519.SH,600522.SH,600535.SH,600547.SH,600549.SH,600570.SH,600583.SH,600585.SH,600588.SH,600606.SH,600637.SH,600660.SH,600663.SH,600674.SH,600682.SH,600688.SH,600690.SH,600703.SH,600704.SH,600705.SH,600739.SH,600741.SH,600795.SH,600804.SH,600809.SH,600816.SH,600820.SH,600837.SH,600867.SH,600886.SH,600887.SH,600893.SH,600900.SH,600909.SH,600919.SH,600926.SH,600958.SH,600959.SH,600977.SH,600999.SH,601006.SH,601009.SH,601012.SH,601018.SH,601021.SH,601088.SH,601099.SH,601108.SH,601111.SH,601117.SH,601155.SH,601166.SH,601169.SH,601186.SH,601198.SH,601211.SH,601212.SH,601216.SH,601225.SH,601228.SH,601229.SH,601238.SH,601288.SH,601318.SH,601328.SH,601333.SH,601336.SH,601360.SH,601377.SH,601390.SH,601398.SH,601555.SH,601600.SH,601601.SH,601607.SH,601611.SH,601618.SH,601628.SH,601633.SH,601668.SH,601669.SH,601688.SH,601718.SH,601727.SH,601766.SH,601788.SH,601800.SH,601808.SH,601818.SH,601828.SH,601838.SH,601857.SH,601866.SH,601877.SH,601878.SH,601881.SH,601888.SH,601898.SH,601899.SH,601901.SH,601919.SH,601933.SH,601939.SH,601958.SH,601985.SH,601988.SH,601989.SH,601991.SH,601992.SH,601997.SH,601998.SH,603160.SH,603260.SH,603288.SH,603799.SH,603833.SH,603858.SH,603993.SH
20050131,,,,0.347037084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6072786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440445488,,,,,,,0.5566164060000001,0.619822242,,,,,,,,,,,,,,,,0.39833166200000003,,,,,,,0.416324533,,,,,,,,,,0.749216743,,,,,0.44184460600000003,,,,,,,,,,,,,,,,,,,,,,,,,0.516041478,,,,,,,,0.601862386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050228,,,,0.308576501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.552702909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417811483,,,,,,,0.495872077,0.587553839,,,,,,,,,,,,,,,,0.37310749299999996,,,,,,,0.36727393399999997,,,,,,,,,,0.7007183379999999,,,,,0.374494758,,,,,,,,,,,,,,,,,,,,,,,,,0.472309149,,,,,,,,0.513637578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050331,,,,0.321055698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633434794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425494014,,,,,,,0.532647279,0.6945187690000001,,,,,,,,,,,,,,,,0.443284451,,,,,,,0.42437114200000003,,,,,,,,,,0.763800037,,,,,0.45349568100000004,,,,,,,,,,,,,,,,,,,,,,,,,0.6285618000000001,,,,,,,,0.590742526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050429,,,,0.36017947100000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7533500670000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416654111,,,,,,,0.536497741,0.7783399990000001,,,,,,,,,,,,,,,,0.466692211,,,,,,,0.439131877,,,,,,,,,,0.60602667,,,,,0.428301476,,,,,,,,,,,,,,,,,,,,,,,,,0.6655949000000001,,,,,,,,0.6061410279999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050531,,,,0.397763415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.858513147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50137378,,,,,,,0.627173415,0.81340036,,,,,,,,,,,,,,,,0.472935585,,,,,,,0.48003959999999996,,,,,,,,,,0.6446033170000001,,,,,0.509278749,,,,,,,,,,,,,,,,,,,,,,,,,0.65619089,,,,,,,,0.6802965790000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050630,,,,0.416926497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91418708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489145151,,,,,,,0.630726806,0.9119943429999999,,,,,,,,,,,,,,,,0.49099909700000005,,,,,,,0.48557851799999996,,,,,,,,,,0.571806585,,,,,0.517530951,,,,,,,,,,,,,,,,,,,,,,,,,0.630457914,,,,,,,,0.7205394759999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050729,,,,0.388906335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8435142640000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.519558321,,,,,,,0.545702359,0.988548612,,,,,,,,,,,,,,,,0.599185339,,,,,,,0.51404892,,,,,,,,,,0.6025370729999999,,,,,0.50016414,,,,,,,,,,,,,,,,,,,,,,,,,0.607548833,,,,,,,,0.7205394759999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050831,,,,0.378188444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7516649329999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466394214,,,,,,,0.504867489,1.037786666,,,,,,,,,,,,,,,,0.574828211,,,,,,,0.487077217,,,,,,,,,,0.510441976,,,,,0.427721565,,,,,,,,,,,,,,,,,,,,,,,,,0.578137755,,,,,,,,0.6894649970000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050930,,,,0.34393077299999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7793760820000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50137378,,,,,,,0.539095793,1.087800481,,,,,,,,,,,,,,,,0.574828211,,,,,,,0.49393746,,,,,,,,,,0.469942837,,,,,0.376113479,,,,,,,,,,,,,,,,,,,,,,,,,0.570250474,,,,,,,,0.718515488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20051031,,,,0.35709986899999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74999827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558115525,,,,,,,0.567975925,1.0921867729999999,,,,,,,,,,,,,,,,0.601735064,,,,,,,0.567672728,,,,,,,,,,0.492040463,,,,,0.44243886600000004,,,,,,,,,,,,,,,,,,,,,,,,,0.538651543,,,,,,,,0.7919241920000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
